array_sum: 0.010083 s (10000000.0)
array_sum: 0.009585 s (10000000.0)
sum: 0.004677 s (10000000.0)
py_sum: 1.384787 s (10000000.0)
         106794 function calls (103729 primitive calls) in 1.730 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1146    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      161    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
   423/14    0.000    0.000    0.314    0.022 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      157    0.000    0.000    0.007    0.000 __init__.py:272(_compile)
     1075    0.000    0.000    0.000    0.000 _parser.py:164(__getitem__)
   191/66    0.000    0.000    0.000    0.000 _parser.py:174(getwidth)
     1868    0.000    0.000    0.000    0.000 typing.py:1695(<genexpr>)
      144    0.000    0.000    0.001    0.000 typing.py:1705(__hash__)
      425    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
     1305    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      307    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.004    0.004 core.py:1(<module>)
  200/140    0.000    0.000    0.010    0.000 typing.py:352(inner)
      161    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      685    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
      369    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      783    0.000    0.000    0.000    0.000 _parser.py:233(__next)
    73/28    0.000    0.000    0.003    0.000 _parser.py:449(_parse_sub)
     1414    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      685    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
      172    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
      275    0.000    0.000    0.001    0.000 {built-in method builtins.max}
       39    0.000    0.000    0.000    0.000 typing.py:329(_flatten_literal_params)
      226    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       41    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      176    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
       56    0.000    0.000    0.004    0.000 typing.py:658(Union)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
      292    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:392(cached)
     1414    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1112    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.012    0.012 numeric.py:1(<module>)
      131    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
      605    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      524    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.006    0.006 fromnumeric.py:1(<module>)
      162    0.000    0.000    0.001    0.000 typing.py:1258(__init__)
     1129    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      170    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      603    0.000    0.000    0.000    0.000 _parser.py:254(get)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
      556    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
     1058    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      317    0.000    0.000    0.001    0.000 function_base.py:483(_add_docstring)
      414    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      209    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.111    0.111 multiarray.py:1(<module>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
       95    0.000    0.000    0.000    0.000 typing.py:299(_deduplicate)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
       56    0.000    0.000    0.001    0.000 typing.py:313(_remove_dups_flatten)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      171    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
    45/12    0.000    0.000    0.001    0.000 typing.py:1441(_make_substitution)
      983    0.000    0.000    0.000    0.000 typing.py:1358(<genexpr>)
       28    0.000    0.000    0.001    0.000 _compiler.py:509(_compile_info)
      274    0.000    0.000    0.000    0.000 typing.py:1287(__getattr__)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
      735    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       28    0.000    0.000    0.006    0.000 _compiler.py:738(compile)
       28    0.000    0.000    0.001    0.000 ipaddress.py:2189(__init__)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      341    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      332    0.000    0.000    0.000    0.000 functools.py:65(wraps)
